,property,units,n_points,value,PID,formula,polymername
1,Glass transition temp.,C,1,3.0,P390226,C26H30N2O7,"poly[oxy(2-{6-[4-(4-nitrobenzylideneamino)phenoxy]hexyl}-1,3-malonyl)oxy(1-methyltrimethylene)]"
1,Glass transition temp.,C,1,130.0,P390227,C21H14O4S,poly{(methylhydroquinone diacetate)-alt-[2-(phenylthio)terephthalic acid]}
2,Melting temp.,C,1,259.0,P390227,C21H14O4S,poly{(methylhydroquinone diacetate)-alt-[2-(phenylthio)terephthalic acid]}
1,Glass transition temp.,C,1,130.0,P390228,C26H16O4S,"poly{(biphenyl-2,5-diyl diacetate)-alt-[2-(phenylthio)terephthalic acid]}"
2,Melting temp.,C,1,149.0,P390228,C26H16O4S,"poly{(biphenyl-2,5-diyl diacetate)-alt-[2-(phenylthio)terephthalic acid]}"
1,Glass transition temp.,C,1,43.0,P390233,C5H6O4,poly(glycolide-co-lactide)
1,Glass transition temp.,C,2,168.0,P390234,C32H20O4,"poly{[4,4'-bis(acetyloxy)biphenyl]-alt-(3-phenylbiphenyl-4,4'-dicarboxylic acid)}"
2,Melting temp.,C,2,242.0,P390234,C32H20O4,"poly{[4,4'-bis(acetyloxy)biphenyl]-alt-(3-phenylbiphenyl-4,4'-dicarboxylic acid)}"
1,Glass transition temp.,C,2,140.0,P390235,C26H16O4,"poly{(1,4-phenylene diacetate)-alt-(3-phenylbiphenyl-4,4'-dicarboxylic acid)}"
1,Glass transition temp.,C,2,165.0,P390236,C30H18O4,"poly{(naphthalene-1,4-diyl diacetate)-alt-(3-phenylbiphenyl-4,4'-dicarboxylic acid)}"
1,Glass transition temp.,C,1,133.0,P390237,C27H18O4,"poly[(3-phenylbiphenyl-4,4'-dicarboxylic acid)-alt-(2-methyl-1,4-phenylene diacetate)]"
1,Glass transition temp.,C,1,148.0,P390238,C32H20O4,"poly[(1,1':3',1''-terphenyl-4,4'-dicarboxylic acid)-alt-(biphenyl-2,5-diyl diacetate)]"
1,Glass transition temp.,C,1,146.0,P390239,C35H26O4,"poly{[2-(2-phenylpropane-2-yl)-1,4-phenylene diacetate]-alt-(1,1':3',1''-terphenyl-4,4'-dicarboxylic acid)}"
1,Glass transition temp.,C,2,125.0,P390240,C30H18O4,"poly{(naphthalene-2,6-diyl diacetate)-alt-(3-phenylbiphenyl-4,4'-dicarboxylic acid)}"
1,Glass transition temp.,C,2,20.0,P390242,C10H10O3,"poly{oxy[1-oxo-3-(phenoxymethyl)propane-1,3-diyl]}"
1,Glass transition temp.,C,1,20.0,P390243,C11H12O3,"poly[oxy(1-oxo-3-phenoxyethylpropane-1,3-diyl)]"
1,Glass transition temp.,C,4,155.0,P390244,C29H22O4,"biphenyl-2,2'-dicarboxylic acid"
1,Glass transition temp.,C,6,60.0,P390245,C14H16O4,poly(2-ethyl-2-methylpropylene terephthalate) 
1,Glass transition temp.,C,1,94.0,P390248,C48H48N4O4,"poly{[9,9-(decane-1,10-diyl)bis(9H-carbazole-3-carbaldehyde)]-alt-[hexane-1,6-diyl bis(cyanoacetate)]}"
1,Glass transition temp.,C,1,96.0,P390249,C47H46N4O4,"poly{[9,9-(nonane-1,9-diyl)bis(9H-carbazole-3-carbaldehyde)]-alt-[hexane-1,6-diyl bis(cyanoacetate)]}"
1,Glass transition temp.,C,1,96.0,P390250,C46H44N4O4,"poly{[9,9-(octane-1,8-diyl)bis(9H-carbazole-3-carbaldehyde)]-alt-[hexane-1,6-diyl bis(cyanoacetate)]}"
