,property,units,n_points,value,PID,formula,polymername
2,Melting temp.,C,1,315.0,P090506,C22H24O4,"poly[(3,3',5,5'-tetramethylbiphenyl-4,4'-diol)-alt-(adipoyl dichloride)]"
1,Glass transition temp.,C,1,93.0,P090507,C25H30O4,"poly{[2,2',6,6'-tetramethyl-4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(adipoyl dichloride)}"
1,Glass transition temp.,C,2,54.0,P090508,C21H22O4,"poly{[4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(adipic acid)}"
2,Melting temp.,C,1,145.0,P090508,C21H22O4,"poly{[4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(adipic acid)}"
1,Glass transition temp.,C,2,115.0,P090509,C43H34O4,"poly{[2,2',6,6'-tetraphenyl-4,4'-methylenediphenol]-alt-(adipic acid)}"
2,Melting temp.,C,1,310.0,P090509,C43H34O4,"poly{[2,2',6,6'-tetraphenyl-4,4'-methylenediphenol]-alt-(adipic acid)}"
1,Glass transition temp.,C,2,97.5,P090510,C18H16O4,poly[(5-butylresorcinol)-alt-(isophthaloyl dichloride)]
1,Glass transition temp.,C,1,110.0,P090511,C14H26O4Sn,poly[(dibutyltin dichloride)-alt-(disodium adipate)]
2,Melting temp.,C,1,236.0,P090511,C14H26O4Sn,poly[(dibutyltin dichloride)-alt-(disodium adipate)]
1,Glass transition temp.,C,1,315.0,P090512,C16H22O4Sn,poly[(dibutyltin dichloride)-alt-(disodium terephthalate)]
2,Melting temp.,C,1,368.0,P090512,C16H22O4Sn,poly[(dibutyltin dichloride)-alt-(disodium terephthalate)]
1,Glass transition temp.,C,4,44.0,P090514,C22H26O4,"poly[(decane-1,10-diol)-alt-(2,6-naphthalene dicarboxylic acid dichloride)]"
2,Melting temp.,C,4,125.0,P090514,C22H26O4,"poly[(decane-1,10-diol)-alt-(2,6-naphthalene dicarboxylic acid dichloride)]"
1,Glass transition temp.,C,1,-53.0,P090515,C7H12O2,poly(gamma-methyl-epsilon-caprolactone)
1,Glass transition temp.,C,1,-33.0,P090516,C8H14O2,"poly(alpha,epsilon-dimethyl-epsilon-caprolactone)"
1,Glass transition temp.,C,2,138.0,P090517,C16H12O4,poly[(5-ethylresorcinol)-alt-(isophthaloyl dichloride)]
1,Glass transition temp.,C,1,27.0,P090518,C20H7F21O4,"poly{(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-[5-(perfluoroheptyl)isophthaloyl dichloride]}"
1,Glass transition temp.,C,2,45.0,P090519,C19H12F6O4,"poly[(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-(biphenyl-3,3'-dicarbonylchloride)]"
2,Melting temp.,C,2,145.0,P090519,C19H12F6O4,"poly[(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-(biphenyl-3,3'-dicarbonylchloride)]"
1,Glass transition temp.,C,3,22.5,P090520,C24H12F16O4,"poly{(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-[1,5-bis[3-(chlorocarbonyl)phenyl]decafluoropentane}"
2,Melting temp.,C,2,125.0,P090520,C24H12F16O4,"poly{(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-[1,5-bis[3-(chlorocarbonyl)phenyl]decafluoropentane}"
1,Glass transition temp.,C,3,19.5,P090521,C22H12F12O4,"poly{(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-[1,3-bis(3-chlorocarbonylphenyl)hexafluoropropane}"
2,Melting temp.,C,2,147.0,P090521,C22H12F12O4,"poly{(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-[1,3-bis(3-chlorocarbonylphenyl)hexafluoropropane}"
1,Melting temp.,C,1,40.0,P090524,C10H10F6O4,"poly[(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-(glutaryl dichloride)]"
1,Melting temp.,C,1,40.0,P090525,C11H10F8O4,"poly[(2,2,3,3,4,4,5,5-octafluorohexane-1,6-diol)-alt-(glutaryl dichloride)]"
1,Glass transition temp.,C,2,67.5,P090526,C20H20O4,poly[(5-hexylresorcinol)-alt-(isophthalic acid)]
1,Glass transition temp.,C,2,185.5,P090527,C20H12O4,"poly[(biphenyl-4,4'-diol)-alt-(isophthaloyl dichloride)]"
2,Melting temp.,C,1,315.0,P090527,C20H12O4,"poly[(biphenyl-4,4'-diol)-alt-(isophthaloyl dichloride)]"
1,Glass transition temp.,C,2,23.5,P090528,C13H8F6O4,"poly[(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-(isophthalic acid)]"
2,Melting temp.,C,1,104.0,P090528,C13H8F6O4,"poly[(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-(isophthalic acid)]"
1,Glass transition temp.,C,1,162.0,P090529,C25H22O4,"poly[2,2'-dimethyl-4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(isophthalic acid)]"
1,Glass transition temp.,C,1,187.0,P090530,C27H26O4,"poly{[2,2',6,6'-tetramethyl-4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(isophthalic acid)}"
1,Glass transition temp.,C,1,127.0,P090534,C26H22O4,"poly{[4,4'-(cyclohexane-1,1-diyl)diphenol]-alt-(isophthaloyl dichloride)}"
2,Melting temp.,C,1,240.0,P090534,C26H22O4,"poly{[4,4'-(cyclohexane-1,1-diyl)diphenol]-alt-(isophthaloyl dichloride)}"
1,Glass transition temp.,C,1,57.0,P090535,C26H32O4,"poly[(3,3',5,5'-tetramethylbiphenyl-4,4'-diol)-alt-(decanedioyl dichloride)]"
2,Melting temp.,C,1,192.0,P090535,C26H32O4,"poly[(3,3',5,5'-tetramethylbiphenyl-4,4'-diol)-alt-(decanedioyl dichloride)]"
1,Glass transition temp.,C,1,169.0,P090536,C16H24O4,"poly[(2,2,4,4-tetramethylcyclobutane-1,3-diol)-alt-(trans-cyclohexane-1,4-dicarboxylic acid)]"
1,Glass transition temp.,C,1,184.0,P090537,C16H18O4,"poly[(2,2,4,4-tetramethylcyclobutane-1,3-diol)-alt-(terephthalic acid)]"
1,Glass transition temp.,C,2,-10.5,P090538,C12H18O4,"poly[(butane-1,4-diol)-alt-(trans-cyclohexane-1,4-dicarboxylic acid)]"
2,Melting temp.,C,6,131.0,P090538,C12H18O4,"poly[(butane-1,4-diol)-alt-(trans-cyclohexane-1,4-dicarboxylic acid)]"
1,Glass transition temp.,C,6,59.0,P090539,C18H18O4,"poly[(dimethyl naphthalene-2,6-dicarboxylate)-alt-(hexane-1,6-diol)]"
2,Melting temp.,C,5,194.0,P090539,C18H18O4,"poly[(dimethyl naphthalene-2,6-dicarboxylate)-alt-(hexane-1,6-diol)]"
4,Tensile modulus,GPa,1,0.0095,P090539,C18H18O4,"poly[(dimethyl naphthalene-2,6-dicarboxylate)-alt-(hexane-1,6-diol)]"
1,Glass transition temp.,C,6,49.5,P090540,C17H16O4,"poly[(dimethyl biphenyl-4,4'-dicarboxyate)-alt-(pentane-1,5-diol)]"
2,Melting temp.,C,1,135.0,P090540,C17H16O4,"poly[(dimethyl biphenyl-4,4'-dicarboxyate)-alt-(pentane-1,5-diol)]"
4,Tensile modulus,GPa,1,0.0088,P090540,C17H16O4,"poly[(dimethyl biphenyl-4,4'-dicarboxyate)-alt-(pentane-1,5-diol)]"
1,Glass transition temp.,C,5,70.5,P090541,C16H14O4,"poly(oxybutane-1,4-diyloxycarbonylnaphthalene-2,6-diylcarbonyl)"
2,Melting temp.,C,5,243.0,P090541,C16H14O4,"poly(oxybutane-1,4-diyloxycarbonylnaphthalene-2,6-diylcarbonyl)"
4,Tensile modulus,GPa,2,0.465,P090541,C16H14O4,"poly(oxybutane-1,4-diyloxycarbonylnaphthalene-2,6-diylcarbonyl)"
1,Glass transition temp.,C,4,86.0,P090542,C15H12O4,"poly[(propane-1,3-diol)-alt-(naphthalene-2,6-dicarboxylic acid)]"
2,Melting temp.,C,2,206.0,P090542,C15H12O4,"poly[(propane-1,3-diol)-alt-(naphthalene-2,6-dicarboxylic acid)]"
4,Tensile modulus,GPa,1,0.011,P090542,C15H12O4,"poly[(propane-1,3-diol)-alt-(naphthalene-2,6-dicarboxylic acid)]"
1,Glass transition temp.,C,1,45.0,P090543,C29H38O4,"poly{[2,2',6,6'-tetramethyl-4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(decanedioyl dichloride)}"
1,Glass transition temp.,C,2,163.0,P090544,C15H10O4,poly[(5-methylresorcinol)-alt-(isophthaloyl dichloride)]
1,Glass transition temp.,C,1,30.0,P090546,C13H20O4,"poly[(2,2-dimethylpropane-1,3-diol)-alt-(trans-cyclohexane-1,4-dicarboxylic acid)]"
1,Glass transition temp.,C,2,41.5,P090549,C23H26O4,poly[(5-nonylresorcinol)-alt-(isophthaloyl dichloride)]
1,Glass transition temp.,C,2,50.5,P090550,C22H24O4,poly[(5-octylresorcinol)-alt-(isophthaloyl dichloride)]
1,Glass transition temp.,C,1,138.0,P090551,C25H22O4,"poly[(biphenyl-4,4'-diol)-alt-(5-amylisophthaloyl dichloride)]"
1,Glass transition temp.,C,1,17.0,P090552,C18H18F6O5,"poly{(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-[diethyl 2-(pentyloxy)isophthalate]}"
1,Glass transition temp.,C,1,9.0,P090553,C18H18F6O5,"poly{(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-[diethyl 4-(pentyloxy)isophthalate]}"
1,Glass transition temp.,C,1,-30.0,P090554,C18H18F6O5,"poly{(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-[diethyl 5-(pentyloxy)isophthalate]}"
1,Glass transition temp.,C,1,110.0,P090555,C26H24O5,"poly{(4,4'-methylenediphenol)-alt-[5-(pentyloxy)isophthaloyl dichloride]}"
2,Melting temp.,C,1,254.0,P090555,C26H24O5,"poly{(4,4'-methylenediphenol)-alt-[5-(pentyloxy)isophthaloyl dichloride]}"
1,Glass transition temp.,C,1,98.0,P090556,C46H40O4,"poly[(3,3',5,5'-tetraphenylbiphenyl-4,4'-diol)-alt-(decanedioyl dichloride)]"
1,Glass transition temp.,C,1,151.0,P090557,C35H32O4,"poly{[4,4'-(9H-fluorene-9,9-diyl)diphenol]-alt-(decanedioyl dichloride)}"
1,Glass transition temp.,C,2,74.0,P090558,C32H16F12O4,"poly([3,3'-(hexafluoropropanediyl)diphenol]-alt-{1,3-bis[3-(chlorocarbonyl)phenyl]hexafluoropropane})"
2,Melting temp.,C,1,175.0,P090558,C32H16F12O4,"poly([3,3'-(hexafluoropropanediyl)diphenol]-alt-{1,3-bis[3-(chlorocarbonyl)phenyl]hexafluoropropane})"
1,Glass transition temp.,C,1,207.5,P090559,C33H30O4,"poly{[4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-[4,4'-(1-methylpropane-1,1-diyl)dibenzoic acid]}"
3,Tensile modulus,GPa,1,1.9,P090559,C33H30O4,"poly{[4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-[4,4'-(1-methylpropane-1,1-diyl)dibenzoic acid]}"
1,Glass transition temp.,C,2,122.0,P090560,C32H22F6O4,"poly([4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-{1,3-bis[3-(chlorocarbonyl)phenyl]hexafluoropropane})"
1,Glass transition temp.,C,2,14.0,P090561,C25H30O4,"poly[oxy-1,4-phenylene(dimethylmethylene)-1,4-phenyleneoxydecanedioyl]"
2,Melting temp.,C,2,243.0,P090561,C25H30O4,"poly[oxy-1,4-phenylene(dimethylmethylene)-1,4-phenyleneoxydecanedioyl]"
1,Glass transition temp.,C,1,92.0,P090566,C47H42O4,"poly{[4,4'-methylenebis(2,6-diphenylphenol)]-alt-(decanedioyl dichloride)}"
1,Glass transition temp.,C,1,96.0,P090567,C23H26O4,"poly[(3,3',5,5'-tetramethylbiphenyl-4,4'-diol)-alt-(heptanedioyl dichloride)]"
2,Melting temp.,C,1,230.0,P090567,C23H26O4,"poly[(3,3',5,5'-tetramethylbiphenyl-4,4'-diol)-alt-(heptanedioyl dichloride)]"
1,Glass transition temp.,C,1,84.0,P090568,C26H32O4,"poly{[2,2',6,6'-tetramethyl-4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(heptanedioic acid)}"
2,Melting temp.,C,1,248.0,P090568,C26H32O4,"poly{[2,2',6,6'-tetramethyl-4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(heptanedioic acid)}"
1,Glass transition temp.,C,1,111.0,P090569,C44H36O4,"poly{[5',5''''-methylenebis(1,1':3',1''-terphenyl-2'-ol))]-alt-(heptanedioic acid)}"
1,Glass transition temp.,C,2,129.0,P090570,C17H14O4,poly[(5-propylresorcinol)-alt-(isophthaloyl dichloride)]
1,Glass transition temp.,C,3,155.0,P090571,C31H34O4,"poly{[2,2'-dibutyl-4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(terephthaloyl dichloride)}"
1,Glass transition temp.,C,2,90.0,P090572,C31H34O4,"poly{[2,2'-di-sec-butyl-4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(terephthaloyl dichloride)}"
1,Glass transition temp.,C,2,190.0,P090573,C23H16Cl2O4,"poly{[2,2'-dichloro-4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(terephthalic acid)}"
1,Glass transition temp.,C,3,130.0,P090574,C29H30O4,"poly{[2,2'-diisopropyl-4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(dimethyl terephthalate)}"
1,Glass transition temp.,C,1,96.0,P090575,C19H18O5,poly{resorcinol-alt-[5-(pentyloxy)isophthaloyl dichloride]}
2,Melting temp.,C,1,199.0,P090575,C19H18O5,poly{resorcinol-alt-[5-(pentyloxy)isophthaloyl dichloride]}
1,Glass transition temp.,C,1,239.0,P090577,C27H26O4,"poly{[2,2',6,6'-tetramethyl-4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(terephthalic acid)}"
1,Glass transition temp.,C,1,285.0,P090580,C33H20O4,"poly{[4,4'-(9H-fluorene-9,9-diyl)diphenol]-alt-(terephthaloyl dichloride)}"
1,Glass transition temp.,C,2,25.5,P090582,C27H34O4,poly[(5-tridecylresorcinol)-alt-(terephthaloyl dichloride)]
1,Glass transition temp.,C,2,34.5,P090583,C25H30O4,poly[(5-undecylresorcinol)-alt-(terephthaloyl dichloride)]
1,Glass transition temp.,C,1,105.0,P090587,C18H24O6S,"poly{[bis(3-hydroxy-2,2-dimethylpropyl) sulfone]-alt-(terephthaloyl dichloride)}"
1,Glass transition temp.,C,1,325.0,P090590,C28H17NO5,"poly{[4,4'-(3-oxoisoindoline-1,1-diyl)bisphenol]-alt-(isophthalic acid)}"
2,Melting temp.,C,1,400.0,P090590,C28H17NO5,"poly{[4,4'-(3-oxoisoindoline-1,1-diyl)bisphenol]-alt-(isophthalic acid)}"
1,Glass transition temp.,C,1,327.0,P090591,C28H17NO5,"poly{[4,4'-(3-oxoisoindoline-1,1-diyl)bisphenol]-alt-(terephthaloyl dichloride)}"
2,Melting temp.,C,1,400.0,P090591,C28H17NO5,"poly{[4,4'-(3-oxoisoindoline-1,1-diyl)bisphenol]-alt-(terephthaloyl dichloride)}"
1,Glass transition temp.,C,1,279.0,P090592,C32H24O6,"poly{[3,3-bis(4-hydroxyphenyl)-1,3-dihydroisobenzofuran-1-one]-alt-(5-tert-butylisophthaloyl dichloride)}"
2,Melting temp.,C,1,343.0,P090592,C32H24O6,"poly{[3,3-bis(4-hydroxyphenyl)-1,3-dihydroisobenzofuran-1-one]-alt-(5-tert-butylisophthaloyl dichloride)}"
1,Glass transition temp.,C,1,313.0,P090593,C28H15ClO6,"poly{[3,3-bis(4-hydroxyphenyl)-1,3-dihydroisobenzofuran-1-one]-alt-(5-chloroisophthaloyl dichloride)}"
2,Melting temp.,C,1,390.0,P090593,C28H15ClO6,"poly{[3,3-bis(4-hydroxyphenyl)-1,3-dihydroisobenzofuran-1-one]-alt-(5-chloroisophthaloyl dichloride)}"
1,Glass transition temp.,C,1,66.0,P090595,C16H26O4,"poly(1,4-cyclohexylene sebacate)"
2,Melting temp.,C,1,151.0,P090595,C16H26O4,"poly(1,4-cyclohexylene sebacate)"
1,Melting temp.,C,1,225.0,P090596,C38H38N2O6,"poly[4,4'-biphenylylene-4,4'-(3,3'-dimethoxy)dibenzylideneimino sebacate]"
1,Melting temp.,C,1,215.0,P090597,C34H30N2O6,"poly[4,4'-biphenylylene-4,4'-(3,3'-dimethoxy)dibenzylideneimino adipate]"
1,Glass transition temp.,C,1,95.0,P090598,C11H10O4,poly(methylethylene phthalate)
2,Melting temp.,C,2,47.5,P090598,C11H10O4,poly(methylethylene phthalate)
1,Melting temp.,C,1,-33.5,P090599,C10H16O4,poly(methylethylene pimelate)
1,Melting temp.,C,1,93.0,P090600,C12H20N2O4,"poly(ethylene 1,4-piperazinedipropionate)"
1,Melting temp.,C,3,-7.0,P090601,C13H22O4,poly(methylethylene sebacate)
1,Melting temp.,C,2,-37.5,P090602,C11H18O4,poly(methylethylene suberate)
1,Melting temp.,C,2,-2.0,P090603,C7H10O4,poly(methylethylene succinate)
1,Melting temp.,C,1,84.0,P090604,C12H20O6S,poly(ethylene sulfonyldivalerate)
1,Melting temp.,C,1,66.5,P090605,C13H22O6S,poly(methylethylene sulfonyldivalerate)
1,Glass transition temp.,C,7,85.0,P090610,C11H10O4,poly(methylethylene terephthalate)
2,Melting temp.,C,2,108.5,P090610,C11H10O4,poly(methylethylene terephthalate)
1,Melting temp.,C,1,204.0,P090611,C22H30N2O6,"poly{[diethyl 6,6'-(terephthaloyldiimino)bis(hexanoate)]-alt-(ethylene glycol)}"
1,Melting temp.,C,1,205.0,P090613,C21H20N2O6,"poly(ethylene N,N'-trimethylenediterephthalamate)"
1,Melting temp.,C,1,180.0,P090614,C9H10O3,poly(furfural-alt-dimethylketene)
1,Melting temp.,C,1,275.0,P090615,C25H28N2O6,"poly(heptamethylene N,N'-ethylenediterephthalamate)"
1,Melting temp.,C,1,227.0,P090616,C29H36N2O6,"poly(heptamethylene N,N'-hexamethylenediterephthalamate)"
1,Melting temp.,C,1,199.0,P090617,C28H34N2O6,"poly{(heptane-1,7-diol)-alt-[4,4'-(pentane-1,5-diyldicarbamoyl)dibenzoic acid]}"
1,Melting temp.,C,1,269.0,P090618,C27H32N2O6,"poly((heptane-1,7-diol)-alt-{dimethyl 4,4'-[butane-1,4-diylbis(iminocarbonyl)]dibenzoic acid})"
1,Melting temp.,C,1,222.0,P090619,C26H30N2O6,"poly(heptamethylene N,N'-trimethylenediterephthalamate)"
1,Melting temp.,C,2,180.0,P090620,C8H6O2,poly(terephthalaldehyde)
1,Melting temp.,C,1,92.0,P090621,C10H16O6,"poly[(butane-1,4-dio)-alt-(d-2,3-dimethoxysuccinic acid)]"
1,Melting temp.,C,3,198.0,P090622,C10H10O3,poly[methyl 4-(3-hydroxypropoxy)benzoate]
1,Glass transition temp.,C,1,312.0,P090625,C29H20O4,"poly{[4,4'-(indane-1,1-diyl)diphenol]-alt-(terephthaloyl dichloride)}"
1,Melting temp.,C,4,173.0,P090626,C8H12O2,"poly(3,3-dimethyl-4-isopropylideneoxetan-2-one)"
1,Glass transition temp.,C,1,132.0,P090627,C26H16O4,"poly[(3-phenylbiphenyl-4,4'-diol)-alt-(terephthalic acid)]"
2,Melting temp.,C,2,296.0,P090627,C26H16O4,"poly[(3-phenylbiphenyl-4,4'-diol)-alt-(terephthalic acid)]"
1,Melting temp.,C,2,382.5,P090628,C36H22O4,"poly[4,4'-(3,3'-diphenyl)biphenylylene 2,6-naphthalenedicarboxylate]"
1,Melting temp.,C,2,347.0,P090629,C32H20O4,"poly[(3,3'-diphenylbiphenyl-4,4'-diol)-alt-(terephthaloyl dichloride)]"
1,Glass transition temp.,C,7,42.5,P090631,C21H22O4,"poly[(diethyl biphenyl-4,4'-dicarboxylate)-alt-(heptane-1,7-diol)]"
2,Melting temp.,C,5,132.5,P090631,C21H22O4,"poly[(diethyl biphenyl-4,4'-dicarboxylate)-alt-(heptane-1,7-diol)]"
1,Glass transition temp.,C,1,42.0,P090632,C20H22O4Si,"poly({1,4-bis[(trimethylsilyl)oxy]butane}-alt-[4,4'-(dimethylsilanediyl)dibenzoyl dichloride])"
1,Glass transition temp.,C,1,44.0,P090633,C21H22O4,"poly({1,4-bis[(trimethylsilyl)oxy]butane}-alt-[4,4'-(1-methylethane-1,1-diyl)dibenzoyl dichloride])"
1,Glass transition temp.,C,1,176.0,P090634,C22H18O4Si,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[4,4'-(dimethylsilanediyl)dibenzoyl dichloride])"
2,Melting temp.,C,1,296.0,P090634,C22H18O4Si,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[4,4'-(dimethylsilanediyl)dibenzoyl dichloride])"
1,Glass transition temp.,C,1,195.0,P090635,C23H18O4,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[4,4'-(1-methylethane-1,1-diyl)dibenzoyl dichloride])"
2,Melting temp.,C,1,378.0,P090635,C23H18O4,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-[4,4'-(1-methylethane-1,1-diyl)dibenzoyl dichloride])"
1,Glass transition temp.,C,1,134.0,P090636,C22H18O4Si,"poly({1,3-bis[(trimethylsilyl)oxy]benzene}-alt-[4,4'-(dimethylsilanediyl)dibenzoyl dichloride])"
2,Melting temp.,C,1,195.0,P090636,C22H18O4Si,"poly({1,3-bis[(trimethylsilyl)oxy]benzene}-alt-[4,4'-(dimethylsilanediyl)dibenzoyl dichloride])"
1,Glass transition temp.,C,1,158.0,P090637,C23H18O4,"poly({1,3-bis[(trimethylsilyl)oxy]benzene}-alt-[4,4'-(1-methylethane-1,1-diyl)dibenzoyl dichloride])"
2,Melting temp.,C,1,267.0,P090637,C23H18O4,"poly({1,3-bis[(trimethylsilyl)oxy]benzene}-alt-[4,4'-(1-methylethane-1,1-diyl)dibenzoyl dichloride])"
1,Glass transition temp.,C,2,152.0,P094250,C31H26N4O6,"poly{4,4'-(1-methylethylidene)bisphenylene-3-[4-(4-nitrophenylazo)phenyl]-3-azapentanedioate}"
1,Glass transition temp.,C,1,210.0,P094308,C18H12O4,"poly{[3,3'-(p-phenylene)bis(acryloyl chloride)]-alt-hydroquinone}"
1,Glass transition temp.,C,1,243.0,P094309,C24H16O4,"poly{[3,3'-(p-phenylene)bis(acryloyl chloride)]-alt-(biphenyl-4,4'-diol)}"
1,Glass transition temp.,C,1,225.0,P094316,C39H24N2O8,"poly{5,5'-[(1-methylethane-1,1-diyl)bis(1,4-phenylene)dioxybis(carbonyl)]bis(phthalic anhydride)}-alt-(m-phenylenediamine)}"
1,Glass transition temp.,C,1,130.0,P094334,C27H20N2O7,"poly((butane-1,4-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
2,Melting temp.,C,1,310.0,P094334,C27H20N2O7,"poly((butane-1,4-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
1,Glass transition temp.,C,1,129.0,P094335,C28H22N2O7,"poly((pentane-1,5-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
2,Melting temp.,C,1,272.0,P094335,C28H22N2O7,"poly((pentane-1,5-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
1,Glass transition temp.,C,1,107.0,P094336,C29H24N2O7,"poly((hexane-1,6-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
2,Melting temp.,C,1,315.0,P094336,C29H24N2O7,"poly((hexane-1,6-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
1,Glass transition temp.,C,1,106.0,P094337,C30H26N2O7,"poly((heptane-1,7-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
2,Melting temp.,C,1,193.0,P094337,C30H26N2O7,"poly((heptane-1,7-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
1,Glass transition temp.,C,1,105.0,P094338,C31H28N2O7,"poly((octane-1,8-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
2,Melting temp.,C,1,281.0,P094338,C31H28N2O7,"poly((octane-1,8-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
1,Glass transition temp.,C,1,100.0,P094339,C32H30N2O7,"poly((nonane-1,9-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
2,Melting temp.,C,1,198.0,P094339,C32H30N2O7,"poly((nonane-1,9-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
1,Glass transition temp.,C,1,102.0,P094340,C33H32N2O7,"poly((decane-1,10-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
2,Melting temp.,C,1,236.0,P094340,C33H32N2O7,"poly((decane-1,10-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
1,Glass transition temp.,C,1,74.0,P094341,C35H36N2O7,"poly((dodecane-1,12-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
2,Melting temp.,C,1,260.0,P094341,C35H36N2O7,"poly((dodecane-1,12-diol)-alt-{4-[4-(ethoxycarbonyl)phthalimido]-N-(4-ethoxycarbonyl)phenyl)benzamide})"
1,Glass transition temp.,C,1,122.0,P094356,C61H56N6O8,"poly[carbazole-9,3-diyl(2-cyano-3-oxoprop-1-ene-1,3-diyl)oxyhexane-1,6-diyloxy(2-cyano-1-oxoprop-2-ene-1,3-diyl)carbazole-3,9-diylbutane-1,4-diyloxycarbonylimino-1,4-phenylenemethylene-1,4-phenyleneiminocarbonyloxybutane-1,4-diyl]"
1,Glass transition temp.,C,1,113.0,P094357,C62H58N6O8,"poly({bis[2-(9-(4-hydroxybutyl)-3-carbazolyl)-1-cyano-2(E)-propenoic acid] hexamethylene ester}-alt-[3,3'-dimethylbiphenyl-4,4'-diisocyanate])"
1,Glass transition temp.,C,1,117.0,P094358,C55H52N6O8,"poly({bis[2-(9-(4-hydroxybutyl)-3-carbazolyl)-1-cyano-2(E)-propenoic acid] hexamethylene ester}-alt-[4-methyl-1,3-phenylene diisocyanate])"
1,Glass transition temp.,C,1,225.0,P094396,C50H32O4,"poly[(2',3',5'-triphenyl-1,1':4',1''-terphenyl-4,4''-diol)-alt-(biphenyl-2,5-dicarboxylic acid)]"
1,Glass transition temp.,C,1,260.0,P094397,C62H40O4,"poly[(2'',3'',5''-triphenyl-1,1':4',1'':4'',1''':4''',1''''-quinquephenyl-4,4''''-diol)-alt-(biphenyl-2,5-dicarboxylic acid)]"
1,Melting temp.,C,1,316.0,P094543,C28H14Cl2O6,"poly[phenolphthalein-alt-(2,5-dichloroterephthaloyl chloride)]"
1,Melting temp.,C,1,400.0,P094544,C28H12Cl4O6,"poly[phenolphthalein-alt-(2,3,5,6-tetrachloroterephthaloyl chloride)]"
1,Melting temp.,C,1,268.0,P094545,C28H16O6,poly[phenolphthalein-alt-(phthaloyl dichloride)]
1,Melting temp.,C,1,300.0,P094546,C28H12Cl4O6,"poly[(3',3'',5',5''-tetrachlorophenolphthalein)-alt-(isophthaloyl dichloride)]"
